"","family_income","NAME","Total Population","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"62",577,"Census Tract 117, Bronx County, New York",1336,"36","05","011700",20,0.0149700598802395,"36005011700","2","2011700"
"63",1522,"Census Tract 118, Bronx County, New York",4690,"36","05","011800",19,0.00405117270788913,"36005011800","2","2011800"
"64",1943,"Census Tract 119, Bronx County, New York",5310,"36","05","011900",14,0.00263653483992467,"36005011900","2","2011900"
"65",869,"Census Tract 121.01, Bronx County, New York",2775,"36","05","012101",21,0.00756756756756757,"36005012101","2","2012101"
"66",531,"Census Tract 121.02, Bronx County, New York",1410,"36","05","012102",2,0.00141843971631206,"36005012102","2","2012102"
"67",1490,"Census Tract 123, Bronx County, New York",3024,"36","05","012300",2,0.000661375661375661,"36005012300","2","2012300"
"68",1372,"Census Tract 125, Bronx County, New York",3180,"36","05","012500",6,0.00188679245283019,"36005012500","2","2012500"
"69",760,"Census Tract 127.01, Bronx County, New York",2376,"36","05","012701",2,0.000841750841750842,"36005012701","2","2012701"
"70",1350,"Census Tract 129.01, Bronx County, New York",2952,"36","05","012901",3,0.00101626016260163,"36005012901","2","2012901"
"71",462,"Census Tract 130, Bronx County, New York",1134,"36","05","013000",11,0.00970017636684303,"36005013000","2","2013000"
"72",1561,"Census Tract 131, Bronx County, New York",4769,"36","05","013100",8,0.00167750052421891,"36005013100","2","2013100"
"73",2464,"Census Tract 132, Bronx County, New York",6135,"36","05","013200",14,0.00228198859005705,"36005013200","2","2013200"
"74",2250,"Census Tract 133, Bronx County, New York",6370,"36","05","013300",10,0.00156985871271586,"36005013300","2","2013300"
"75",1278,"Census Tract 135, Bronx County, New York",3256,"36","05","013500",36,0.0110565110565111,"36005013500","2","2013500"
"76",1212,"Census Tract 138, Bronx County, New York",3182,"36","05","013800",24,0.00754242614707731,"36005013800","2","2013800"
"77",1928,"Census Tract 141, Bronx County, New York",2247,"36","05","014100",14,0.00623052959501558,"36005014100","2","2014100"
"78",442,"Census Tract 143, Bronx County, New York",565,"36","05","014300",10,0.0176991150442478,"36005014300","2","2014300"
"79",2161,"Census Tract 144, Bronx County, New York",5184,"36","05","014400",6,0.00115740740740741,"36005014400","2","2014400"
"80",2243,"Census Tract 145, Bronx County, New York",5728,"36","05","014500",12,0.00209497206703911,"36005014500","2","2014500"
"81",2003,"Census Tract 147.01, Bronx County, New York",5544,"36","05","014701",2,0.000360750360750361,"36005014701","2","2014701"
"82",1620,"Census Tract 147.02, Bronx County, New York",5087,"36","05","014702",6,0.00117947709848634,"36005014702","2","2014702"
"83",1415,"Census Tract 149, Bronx County, New York",3768,"36","05","014900",22,0.00583864118895966,"36005014900","2","2014900"
"84",1759,"Census Tract 151, Bronx County, New York",5309,"36","05","015100",14,0.00263703145601808,"36005015100","2","2015100"
"85",871,"Census Tract 152, Bronx County, New York",2136,"36","05","015200",14,0.00655430711610487,"36005015200","2","2015200"
"86",1472,"Census Tract 153, Bronx County, New York",3779,"36","05","015300",28,0.00740936755755491,"36005015300","2","2015300"
"87",1090,"Census Tract 155, Bronx County, New York",3494,"36","05","015500",17,0.0048654836863194,"36005015500","2","2015500"
"88",1289,"Census Tract 157, Bronx County, New York",3102,"36","05","015700",26,0.00838168923275306,"36005015700","2","2015700"
"89",424,"Census Tract 158, Bronx County, New York",1261,"36","05","015800",3,0.00237906423473434,"36005015800","2","2015800"
"90",641,"Census Tract 159, Bronx County, New York",2942,"36","05","015900",12,0.00407885791978246,"36005015900","2","2015900"
"91",1526,"Census Tract 160, Bronx County, New York",3572,"36","05","016000",5,0.00139977603583427,"36005016000","2","2016000"
"92",1751,"Census Tract 161, Bronx County, New York",4253,"36","05","016100",7,0.00164589701387256,"36005016100","2","2016100"
"93",554,"Census Tract 162, Bronx County, New York",1605,"36","05","016200",3,0.00186915887850467,"36005016200","2","2016200"
"94",0,"Census Tract 163, Bronx County, New York",416,"36","05","016300",17,0.0408653846153846,"36005016300","2","2016300"
"95",360,"Census Tract 164, Bronx County, New York",1040,"36","05","016400",2,0.00192307692307692,"36005016400","2","2016400"
"96",363,"Census Tract 165, Bronx County, New York",1219,"36","05","016500",14,0.0114848236259229,"36005016500","2","2016500"
"97",742,"Census Tract 166, Bronx County, New York",2416,"36","05","016600",14,0.00579470198675497,"36005016600","2","2016600"
"98",826,"Census Tract 167, Bronx County, New York",1910,"36","05","016700",14,0.00732984293193717,"36005016700","2","2016700"
"99",453,"Census Tract 169, Bronx County, New York",2174,"36","05","016900",15,0.00689972401103956,"36005016900","2","2016900"
"100",2150,"Census Tract 173, Bronx County, New York",5437,"36","05","017300",23,0.00423027404818834,"36005017300","2","2017300"
